PM2.5,PM10,NO2,SO2,CO,O3,no,nh3,aqi_value
63.81,90.35,79.51,7.87,1815.8,0.0,14.06,211.0,248
77.15,110.21,80.2,8.35,2056.12,0.0,15.07,239.61,206
86.94,126.06,79.51,8.94,2189.64,0.0,16.47,257.49,249
96.19,141.36,80.88,9.3,2349.85,0.0,15.58,278.95,231
83.11,129.25,76.08,7.99,2109.53,0.0,9.12,246.76,245
50.25,87.18,64.43,7.21,1428.6,0.0,5.57,153.78,208
23.56,41.95,59.63,7.99,827.79,0.0,3.9,60.8,111
20.54,32.41,58.95,8.7,700.95,0.0,3.45,41.57,113
24.87,35.69,55.52,9.89,727.65,0.0,3.48,49.62,131
31.65,43.38,58.95,11.44,834.47,0.0,3.55,64.37,156
35.81,47.82,71.29,11.21,921.25,0.0,3.29,69.74,168
34.29,45.18,76.08,9.78,921.25,0.0,3.86,67.95,188
28.01,37.49,67.86,9.66,847.82,0.34,4.69,65.27,197
23.74,32.68,61.01,10.25,787.74,2.73,5.45,62.59,113
18.37,25.68,54.15,11.68,647.54,10.64,4.81,43.81,63
8.49,11.85,38.73,9.89,380.52,33.98,1.96,8.72,19
6.7,9.71,36.33,10.01,350.48,38.98,1.92,5.31,21
6.3,9.43,38.73,10.37,347.14,38.27,2.09,3.44,7
8.32,12.54,54.15,11.92,413.9,21.99,3.2,4.92,56
11.08,16.72,68.55,13.11,500.68,5.23,4.43,12.52,69
12.15,18.56,71.29,12.76,547.41,0.81,4.94,20.56,70
13.68,20.65,74.03,11.92,607.49,0.06,5.57,31.29,54
16.13,23.87,79.51,10.49,680.92,0.0,5.83,40.68,79
19.45,28.36,83.63,8.82,747.68,0.0,5.51,45.6,81
23.15,32.99,83.63,7.99,794.41,0.0,5.13,49.17,125
25.32,35.09,82.25,8.11,821.11,0.0,4.75,50.07,184
26.94,36.58,82.25,8.46,834.47,0.0,4.43,51.41,178
26.82,35.92,81.57,8.94,827.79,0.0,3.9,48.28,181
21.73,29.06,74.71,8.82,707.63,0.01,2.47,33.53,107
15.99,21.53,65.12,8.46,567.44,0.2,1.62,17.43,84
12.39,16.98,56.89,7.87,473.98,1.35,1.25,7.71,83
9.73,13.82,46.61,7.03,397.21,6.08,1.03,2.46,71
7.86,11.38,37.01,6.56,347.14,16.63,0.91,0.51,7
6.55,9.12,31.87,6.44,317.1,27.18,0.81,0.12,22
5.92,7.8,31.19,6.2,310.42,34.33,0.83,0.05,17
6.57,8.68,39.07,6.2,343.8,32.9,1.28,0.1,2
5.93,7.9,38.39,6.44,340.46,39.34,1.38,0.24,8
5.61,7.52,37.36,6.5,333.79,41.49,1.35,1.68,12
5.07,6.78,33.24,6.38,317.1,43.63,1.2,2.65,13
4.4,5.96,30.5,6.44,300.41,42.2,1.08,2.63,30
4.36,6.0,33.93,7.39,307.08,32.19,1.12,2.65,14
4.66,6.38,40.1,8.35,327.11,18.77,1.17,2.21,74
5.77,8.14,42.5,9.42,367.17,9.66,1.38,7.26,64
7.32,10.71,40.44,10.61,417.23,6.88,1.58,16.32,85
8.51,12.66,41.81,10.49,453.95,3.0,1.69,21.01,66
10.15,15.25,45.24,9.42,514.03,0.1,1.93,29.5,86
12.48,18.82,43.87,7.63,614.17,0.0,2.12,44.7,60
15.29,23.04,40.44,6.14,680.92,0.0,2.28,56.33,55
18.5,27.86,38.73,5.31,734.33,0.0,2.44,62.59,75
19.94,30.2,37.7,4.59,727.65,0.0,2.31,59.01,79
19.17,29.51,37.01,4.05,667.57,0.0,2.22,47.39,91
19.01,28.97,37.01,3.67,647.54,0.0,2.06,44.7,59
16.77,25.2,34.96,3.4,600.82,0.0,1.39,40.68,91
14.85,22.09,31.53,3.34,547.41,0.0,1.31,35.32,86
14.19,20.84,28.45,3.22,520.71,0.0,1.39,32.19,73
14.82,21.53,25.71,3.22,514.03,0.0,1.54,34.42,55
16.28,23.39,24.68,3.46,534.06,0.0,1.74,39.34,75
17.11,24.69,23.99,3.64,554.09,0.0,1.82,42.92,65
18.26,26.42,24.33,3.67,587.46,0.0,2.06,49.17,98
27.29,38.93,28.1,3.82,814.44,0.0,3.86,84.04,167
37.05,52.65,32.56,4.35,1108.17,0.14,5.0,134.11,191
39.99,57.69,31.87,5.01,1255.04,1.13,5.07,159.14,183
33.99,50.53,29.13,6.32,1134.87,2.66,4.94,135.9,194
16.51,24.08,31.53,14.42,620.84,9.21,3.17,51.41,97
15.99,22.75,39.07,17.17,567.44,12.88,3.36,39.79,73
15.55,22.25,46.61,18.84,547.41,13.05,3.61,33.98,71
13.43,19.61,48.67,15.26,527.38,11.8,3.58,28.16,88
13.13,19.14,50.72,13.11,554.09,7.87,4.02,30.4,63
13.13,19.26,52.78,12.28,587.46,2.68,4.37,33.98,95
13.18,19.38,52.78,10.49,614.17,0.06,4.37,38.0,79
12.45,18.6,54.15,8.11,607.49,0.0,4.02,35.32,68
11.49,17.89,55.52,6.86,567.44,0.01,3.74,27.94,83
11.7,18.73,53.47,6.02,554.09,0.02,3.61,24.59,77
12.47,20.08,50.72,5.19,554.09,0.02,3.39,23.92,61
12.79,20.51,46.61,4.41,540.73,0.03,3.07,22.8,53
12.19,19.39,42.84,3.93,520.71,0.04,2.57,21.01,53
10.04,15.95,39.41,3.67,473.98,0.09,1.55,15.42,88
8.03,12.43,34.96,3.07,420.57,0.39,0.9,8.94,27
7.8,11.53,30.85,2.41,407.22,0.44,0.72,8.49,49
9.04,13.09,29.13,2.33,423.91,0.12,0.83,12.85,44
10.68,15.31,28.79,2.65,453.95,0.03,1.09,17.88,78
11.98,17.26,29.47,3.04,473.98,0.01,1.27,22.13,72
13.19,19.07,31.19,3.31,507.36,0.0,1.44,26.82,92
18.11,25.89,35.3,3.79,627.52,0.0,2.79,44.7,56
20.77,29.75,40.1,4.77,727.65,0.14,4.18,59.9,131
22.8,33.65,40.1,5.25,814.44,1.39,5.57,76.0,109
21.53,33.33,36.67,5.66,807.76,3.22,6.02,76.0,136
6.47,10.27,28.45,6.56,367.17,36.12,1.79,8.72,37
3.63,6.03,17.31,5.07,293.73,54.36,1.16,3.49,5
2.93,4.74,13.54,4.29,273.71,61.51,0.9,2.38,9
3.0,4.65,14.91,4.53,277.04,57.22,0.95,2.35,49
3.32,5.04,20.22,5.54,297.07,47.21,1.19,2.38,41
3.65,5.41,26.39,6.14,313.76,35.41,1.38,1.31,45
4.03,5.82,31.87,6.14,337.12,24.32,1.52,0.32,3
4.71,6.59,35.3,5.84,363.83,16.63,1.69,0.73,22
5.71,7.88,36.67,5.36,380.52,12.88,1.9,1.15,50
7.65,10.66,41.13,4.65,420.57,6.8,2.47,3.24,83
9.22,13.13,42.84,3.87,447.27,2.41,2.72,6.2,98
9.87,14.31,43.18,3.28,453.95,1.9,2.6,7.1,86
9.79,14.4,43.87,3.01,453.95,1.72,2.31,7.04,65
8.12,12.15,42.16,2.89,423.91,3.58,1.66,3.8,80
6.81,10.23,38.73,2.86,393.87,7.87,1.31,1.62,27
7.13,10.66,39.07,2.8,397.21,6.35,1.36,2.32,13
9.02,13.4,42.16,3.61,433.92,1.13,1.93,7.6,53
11.7,17.12,43.87,5.48,494.0,0.09,2.95,15.87,99
14.24,20.65,45.93,7.45,540.73,0.01,3.83,23.47,92
16.1,23.39,45.93,7.03,580.79,0.0,3.71,29.06,88
22.75,32.55,48.67,5.25,727.65,0.0,4.37,50.96,149
30.33,42.69,50.72,4.29,934.6,0.35,4.24,84.94,200
33.4,47.04,46.61,4.89,1028.06,2.68,5.07,107.29,174
31.05,44.47,43.53,6.44,988.01,5.81,5.95,102.82,169
17.02,24.03,44.55,15.26,574.11,21.28,3.67,38.0,72
17.43,23.91,45.24,18.36,527.38,26.82,3.42,32.63,74
18.82,25.18,47.3,20.74,520.71,27.54,3.42,31.74,59
18.28,24.24,48.67,17.41,520.71,25.75,3.42,29.5,71
18.14,24.44,53.47,14.07,560.76,17.35,4.02,30.85,90
18.36,25.25,61.69,12.52,607.49,6.44,4.69,32.63,80
20.04,27.63,67.86,11.68,674.25,0.15,5.32,37.55,107
23.02,30.85,73.34,10.97,714.3,0.0,5.38,39.79,124
27.21,35.38,78.14,10.25,727.65,0.0,5.07,36.66,188
30.63,39.15,80.2,9.89,734.33,0.0,4.81,35.76,160
31.7,40.8,80.2,9.06,747.68,0.0,4.81,38.0,191
31.9,41.7,78.14,7.99,754.36,0.0,4.81,40.23,198
31.66,41.93,75.4,6.74,761.03,0.0,4.56,42.47,200
28.71,38.3,69.92,5.9,727.65,0.0,3.26,39.79,182
28.16,37.65,65.12,6.68,727.65,0.0,3.17,42.92,196
29.48,39.34,64.43,7.87,747.68,0.0,3.17,46.94,152
27.51,36.81,64.43,8.94,720.98,0.0,2.69,39.79,197
19.52,27.23,64.43,9.18,587.46,0.95,2.12,16.54,89
11.53,17.97,51.41,8.46,427.25,17.17,1.66,0.98,88
9.04,15.61,41.13,7.99,377.18,36.48,1.77,0.07,58
11.02,20.28,52.09,8.35,427.25,32.19,2.85,0.16,72
9.72,18.39,44.55,8.82,387.19,42.92,2.25,0.05,79
9.52,17.61,39.76,8.23,370.5,44.7,1.73,0.14,27
9.03,17.1,32.22,7.51,337.12,52.21,1.28,0.27,50
7.88,15.06,23.99,5.96,290.39,67.23,0.86,0.19,14
7.11,14.42,19.88,5.19,273.71,77.25,0.7,0.16,48
6.9,15.08,16.62,4.29,267.03,80.82,0.58,0.12,60
6.03,14.05,16.28,4.11,263.69,77.96,0.59,0.08,48
4.81,11.1,17.14,4.41,257.02,75.82,0.65,0.04,4
4.71,8.8,17.65,4.47,263.69,68.67,0.67,0.01,37
5.53,8.33,20.39,4.89,267.03,57.22,0.77,0.0,45
5.48,7.26,23.31,5.07,270.37,52.93,0.86,0.0,5
4.62,6.04,25.36,4.77,277.04,52.21,0.95,0.01,38
5.94,8.1,35.99,5.31,330.45,41.13,1.44,0.04,38
8.03,10.9,45.93,5.9,380.52,26.11,1.74,0.25,80
10.35,13.72,53.47,6.38,423.91,12.88,1.98,1.37,71
11.15,14.34,52.78,6.74,427.25,6.53,1.87,2.74,81
9.31,11.75,43.87,6.86,373.84,8.49,1.3,1.5,57
8.43,10.47,37.7,7.09,343.8,9.39,1.09,1.16,43
8.55,10.8,35.99,7.21,337.12,6.35,1.08,1.79,47
8.92,11.57,34.96,7.63,337.12,3.09,1.08,3.38,32
9.62,12.64,33.59,8.23,340.46,1.16,1.09,5.87,45
10.6,13.9,33.59,9.18,347.14,0.37,1.08,8.83,60
11.92,15.37,33.93,10.01,370.5,0.07,1.14,13.08,68
15.04,19.41,35.64,10.49,447.27,0.0,1.69,23.02,73
16.85,21.72,37.01,10.97,507.36,0.16,2.06,30.85,62
15.64,20.16,34.96,11.09,500.68,1.65,1.98,30.4,92
13.76,17.67,34.27,11.09,467.3,3.71,1.82,24.36,85
9.9,12.62,32.22,9.89,407.22,11.18,1.38,13.86,5
